number;name;subsystem;basin;hydro plants downstream;hydro_plant_operating; run-of-river hydro plants;historical_inflow;max_generation;production_factor;maximum turbined outflow;minimum outflow;forced_indisponibility;programmer_indisponibility;min_volume;max_volume;COTA_MINIMO;COTA_MAXIMO;COTA_MINIMO_OPERACIONAL;COTA_MAXIMO_OPERACIONAL;CANAL_FUGA_MEDIO;initial_volume;POLI_COTA_VOLUME_0;POLI_COTA_VOLUME_1;POLI_COTA_VOLUME_2;POLI_COTA_VOLUME_3;POLI_COTA_VOLUME_4;POLI_COTA_AREA_0;POLI_COTA_AREA_1;POLI_COTA_AREA_2;POLI_COTA_AREA_3;POLI_COTA_AREA_4;EVAPORACAO_01;EVAPORACAO_02;EVAPORACAO_03;EVAPORACAO_04;EVAPORACAO_05;EVAPORACAO_06;EVAPORACAO_07;EVAPORACAO_08;EVAPORACAO_09;EVAPORACAO_10;EVAPORACAO_11;EVAPORACAO_12;POLI_JUSANTE_1_HREF;POLI_JUSANTE_1_COEF_0;POLI_JUSANTE_1_COEF_1;POLI_JUSANTE_1_COEF_2;POLI_JUSANTE_1_COEF_3;POLI_JUSANTE_1_COEF_4;POLI_JUSANTE_2_HREF;POLI_JUSANTE_2_COEF_0;POLI_JUSANTE_2_COEF_1;POLI_JUSANTE_2_COEF_2;POLI_JUSANTE_2_COEF_3;POLI_JUSANTE_2_COEF_4;POLI_JUSANTE_3_HREF;POLI_JUSANTE_3_COEF_0;POLI_JUSANTE_3_COEF_1;POLI_JUSANTE_3_COEF_2;POLI_JUSANTE_3_COEF_3;POLI_JUSANTE_3_COEF_4;POLI_JUSANTE_4_HREF;POLI_JUSANTE_4_COEF_0;POLI_JUSANTE_4_COEF_1;POLI_JUSANTE_4_COEF_2;POLI_JUSANTE_4_COEF_3;POLI_JUSANTE_4_COEF_4;POLI_JUSANTE_5_HREF;POLI_JUSANTE_5_COEF_0;POLI_JUSANTE_5_COEF_1;POLI_JUSANTE_5_COEF_2;POLI_JUSANTE_5_COEF_3;POLI_JUSANTE_5_COEF_4;POLI_JUSANTE_6_HREF;POLI_JUSANTE_6_COEF_0;POLI_JUSANTE_6_COEF_1;POLI_JUSANTE_6_COEF_2;POLI_JUSANTE_6_COEF_3;POLI_JUSANTE_6_COEF_4;CONJUNTO_1_NUM_MAQUINAS;CONJUNTO_1_POTENCIA_REF;CONJUNTO_1_VAZAO_REF;CONJUNTO_1_QUEDA_REF;CONJUNTO_1_TIPO_TURBINA;CONJUNTO_2_NUM_MAQUINAS;CONJUNTO_2_POTENCIA_REF;CONJUNTO_2_VAZAO_REF;CONJUNTO_2_QUEDA_REF;CONJUNTO_2_TIPO_TURBINA;CONJUNTO_3_NUM_MAQUINAS;CONJUNTO_3_POTENCIA_REF;CONJUNTO_3_VAZAO_REF;CONJUNTO_3_QUEDA_REF;CONJUNTO_3_TIPO_TURBINA;CONJUNTO_4_NUM_MAQUINAS;CONJUNTO_4_POTENCIA_REF;CONJUNTO_4_VAZAO_REF;CONJUNTO_4_QUEDA_REF;CONJUNTO_4_TIPO_TURBINA;CONJUNTO_5_NUM_MAQUINAS;CONJUNTO_5_POTENCIA_REF;CONJUNTO_5_VAZAO_REF;CONJUNTO_5_QUEDA_REF;CONJUNTO_5_TIPO_TURBINA
22;TELES PIRES ;1;19;23;1;1;22;1820;0.009035;3860;313;2.917;12.122;897.22;897.22;220;220;220;220;164.46;0;196.337;0.108697;-0.000246831;2.67E-07;-1.05E-10;3.04E+06;-58759.9;426.232;-1.3745;0.0016627;40;35;44;6;6;9;15;30;39;6;40;57;0;160.741;0.00112149;7.13E-10;-2.16E-12;6.56E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;364;772;52.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;SAO MANOEL  ;1;19;-1;0;1;23;700;0.009104;3805;316;2.533;8.091;577.22;577.22;161;161;161;161;136.88;0;143.787;0.0694337;-0.000149384;2.05E-07;-1.14E-10;2.37E+06;-60871.9;585.126;-2.49929;0.00400277;43;52;71;-10;-11;-3;7;23;33;7;41;58;0;131.957;0.00188224;-9.01E-08;5.69E-12;-1.45E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;140;761;20.2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;SLT VERDINHO;1;13;93;1;1;24;93;0.009025;254;92;0.31;3.84;264.48;264.48;370.5;370.5;370.5;370.5;328.73;0;370.5;0;0;0;0;36.55;0;0;0;0;14;14;27;46;65;67;63;64;65;23;9;30;0;326.996;0.00940982;-1.35E-05;1.20E-08;-3.94E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;46.5;127;40.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;OURINHOS    ;1;6;99;1;1;25;44.1;0.008731;486;74;9.361;2.749;20.82;20.82;398;398;398;398;387;0;398;0;0;0;0;4.33;0;0;0;0;29;22;42;59;64;52;41;41;47;21;12;36;0;385.642;0.0037213;-1.45E-06;5.33E-10;-7.35E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14.7;162;10.4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;SERRA MESA  ;1;17;27;1;0;26;1275;0.009124;1191;97;3.197;6.575;11150;54400;417.3;460;417.3;460;334.1;13.19;391.405;0.00277216;-4.36E-08;2.90E-13;0;159666;-986.245;1.94994;-0.00120015;0;27;8;16;26;52;70;85;93;105;60;45;36;0;332.798;0.00134297;8.82E-08;-1.63E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;425;397;117.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;CANA BRAVA  ;1;17;28;1;1;27;450;0.008927;1155;102;0.222;3.471;2300;2300;330;333;330;333;287.4;0;333;0;0;0;0;138.7;0;0;0;0;31;8;18;27;49;62;71;80;97;60;47;36;0;284.11;0.0044256;-7.81E-07;6.62E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;150;385;43.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;SAO SALVADOR;1;17;29;1;1;28;243.2;0.008829;1206;107;0.78;12.585;952;952;287;287;287;287;263.45;0;287;0;0;0;0;104;0;0;0;0;32;7;15;21;42;55;60;71;91;61;46;36;0;262.681;3.63E-05;4.33E-07;-6.41E-11;2.98E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;121.6;603;22.84;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;PEIXE ANGIC ;1;17;30;1;0;29;498.75;0.009133;2073;185;0.439;6.003;2212.7;2741;261;263;261;263;235.44;33.18;239.282;0.0291567;-1.80E-05;5.66E-09;-6.61E-13;-583920;7064.9;-28.5103;0.0383792;0;24;6;11;7;34;53;61;71;93;60;41;35;0;232.68;0.0019702;-2.43E-07;1.93E-11;-5.89E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;166.25;691;26.35;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;LAJEADO     ;1;17;145;1;1;30;902.5;0.009148;3400;259;1.657;5.809;4940;4940;212;212;212;212;175.8;0;212;0;0;0;0;626;0;0;0;0;12;7;9;3;15;42;66;78;79;48;26;30;0;171.366;0.0024155;-1.36E-07;4.48E-12;-5.74E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;180.5;680;29;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;SALTO       ;1;13;24;1;1;31;116;0.008858;260;85;0.811;2.265;826.06;826.06;446.5;446.5;446.5;446.5;395.14;0;446.5;0;0;0;0;60.24;0;0;0;0;12;8;23;42;64;70;68;69;66;19;5;25;0;393.754;0.00970111;-1.82E-05;2.80E-08;-1.86E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;58;130;50.18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;RONDON II   ;1;20;-1;1;0;32;73.5;0.009215;138;33;2.045;4.326;192.17;478.29;264;268;264;268;204.52;19.8;261.1;0.0131;7.00E-06;-9.00E-09;0;1917.5;-20.654;0.0514;0;0;13;4;7;18;14;-8;19;25;3;1;-5;37;0;202.55;0.0267;-6.00E-05;7.00E-08;-3.00E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;24.5;46;57.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;PONTE PEDRA ;1;9;-1;1;1;33;176.1;0.009025;81;28;0.334;2.66;199;199;396;396;396;396;148.6;0;396;0;0;0;0;19.1;0;0;0;0;16;11;20;27;55;51;48;61;67;-1;-10;9;0;147.35;0.024646;-6.67E-05;9.44E-08;-4.82E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;58.7;27;243.45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;JIRAU       ;1;21;35;1;1;34;3750;0.009163;26900;1386;0.676;0.372;2746.7;2746.7;90;90;90;90;72.71;0;66.3548;0.0206872;-8.28E-06;1.92E-09;-1.84E-13;-78803.8;2902.46;-35.699;0.14685;0;-80;-67;-93;-81;-74;-29;11;41;-25;-82;-66;-81;0;70.5;6.62E-06;4.65E-09;-7.06E-14;3.70E-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;75;538;15.2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;STO ANTONIO ;1;21;-1;1;1;35;3568.3;0.008809;29120;1407;2.122;1.635;2075.13;2075.13;70.5;70.5;70.5;70.5;54.59;0;70.5;0;0;0;0;271.26;0;0;0;0;-80;-67;-93;-81;-74;-29;11;41;-25;-82;-66;-81;0;43.4406;0.000847969;-2.21E-08;3.89E-13;-2.90E-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;73.29;598;13.9;2;26;69.59;568;13.9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;ESPORA      ;1;13;93;1;0;36;32.01;0.008731;72;22;1.214;4.459;71;209;576.5;583.5;576.5;583.5;531.2;57.2;559.134;0.399645;-0.00278485;9.26E-06;-1.15E-08;-10840.8;64.997;-0.091424;-4.83E-05;1.18E-07;10;5;24;37;55;61;64;75;71;25;19;28;0;527.012;0.0670351;-0.000407539;9.41E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10.67;24;50.7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;ITIQUIRA I  ;1;9;38;1;1;37;60.8;0.008876;80;17;1.482;4.28;5;5;412;412;412;412;320;0;412;0;0;0;0;2.1;0;0;0;0;12;7;14;19;41;34;45;73;72;14;19;19;0;320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;30.4;40;86.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;ITIQUIRA II ;1;9;-1;1;1;38;96.57;0.009074;78;17;2.074;4.265;1;1;320;320;320;320;180.77;0;320;0;0;0;0;0.1;0;0;0;0;12;7;14;19;41;34;45;73;72;14;19;19;0;178.707;0.0455774;-0.000317201;1.19E-06;-1.72E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;48.285;39;135.33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;DARDANELOS  ;1;20;-1;1;1;39;261;0.008917;306;27;1.209;3.15;0.12;0.12;213.5;213.5;213.5;213.5;114.56;0;213.5;0;0;0;0;0.24;0;0;0;0;31;18;18;12;13;11;14;34;26;23;20;47;0;112.87;0.00340124;1.30E-06;-7.16E-10;5.03E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;58;68;95.6;1;1;29;34;95.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;CACU        ;1;13;41;1;0;40;65;0.009025;280;54;1.456;5.618;197.27;231.77;475;477;475;477;449;25;453.083;0.199715;-0.00077629;2.17E-06;-2.59E-09;449720;-3903.83;12.7123;-0.0184067;1.00E-05;12;5;21;39;62;69;69;69;68;19;7;24;0;447.934;0.00432561;4.48E-06;-1.06E-08;5.56E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;32.5;140;25.8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;B. COQUEIROS;1;13;42;1;1;41;90;0.009025;278;56;2.102;2.499;300;347.8;446;448;446;448;410.48;0;418.481;0.17256;-0.000418949;5.91E-07;-3.20E-10;1.27E+06;-11318.8;37.9086;-0.0564497;3.15E-05;12;7;22;42;64;70;68;68;67;20;6;25;0;409.425;0.00641672;-1.12E-05;1.56E-08;-8.51E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;45;139;36;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;FOZ R. CLARO;1;13;93;1;1;42;68.4;0.009025;298;62;0.71;4.278;95.33;95.33;354;354;354;354;326;0;354;0;0;0;0;7.69;0;0;0;0;-17;0;3;53;82;76;98;120;97;36;-12;-15;0;323.934;0.0126845;-2.28E-05;3.08E-08;-1.73E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;34.2;149;25.48;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;JAGUARI     ;1;10;46;1;0;43;27.6;0.008534;64;5;1.227;6.773;443;1236;603.2;623;603.2;623;557.9;16.34;579.636;0.074086;-5.98E-05;3.14E-08;-6.90E-12;-22398.2;94.1086;-0.0894238;-7.37E-05;1.09E-07;-31;-16;1;37;66;68;70;70;47;11;-22;-33;0;555.275;0.0549427;-0.00013248;3.35E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;13.8;32;49.9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;PARAIBUNA   ;1;10;45;1;0;44;87.02;0.008731;127;21;1.234;1.976;2096;4732;694.6;714;694.6;714;626.4;9.95;662.435;0.0224112;-4.40E-06;5.50E-10;-2.84E-14;-1722.28;12.3779;-0.0168791;-1.38E-05;2.57E-08;-35;-16;2;34;62;72;69;64;40;6;-23;-44;0;623.767;0.043468;-0.000323508;1.35E-06;-2.18E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;43.04;63;78.3;1;1;43.98;64;78.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;SANTA BRANCA;1;10;46;1;0;45;56.05;0.008829;144;23;0.768;5.34;131;439;605;622;605;622;577.2;8;592.776;0.104451;-8.62E-05;0;0;9849.29;-33.0189;0.0276975;0;0;-25;-15;13;41;62;72;68;55;32;-1;-25;-26;0;577.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;28.025;72;44;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;FUNIL       ;1;10;10;1;0;46;222;0.00824;387;50;1.856;4.795;283;888;444;466.5;444;466.5;394.3;52.57;421.228;0.104427;-9.57E-05;4.00E-08;0;29506.8;-192.916;0.418396;-0.00030067;0;-40;-34;-11;24;51;56;66;71;48;8;-21;-36;0;392.7;0.0103134;-5.99E-06;1.34E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;74;129;69.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;LAJES       ;1;10;11;1;0;47;0;0;0;0;0;0;0.01;445.35;386.5;415;386.5;415;90.3;79.38;387.939;0.151707;-0.000501987;1.05E-06;-8.62E-10;30;0;0;0;0;-38;-40;-4;25;50;61;54;41;26;-4;-19;-23;0;90.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;PICADA      ;1;10;49;1;1;48;50;0.008535;44;9;0.537;4.503;6;7;658.76;659.22;658.76;659.22;525.71;0;645.014;3.8781;-0.379545;0.0190378;-0.000361636;-93647.8;345.042;-0.259633;-0.000287135;3.24E-07;-25;-19;3;28;47;58;46;31;26;14;-3;-17;0;525.629;0.0192287;-1.57E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;25;22;130.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;SOBRAGI     ;1;10;50;1;1;49;60;0.008437;90;21;1.332;6.277;1;1;436.5;436.5;436.5;436.5;360;0;436.5;0;0;0;0;0.11;0;0;0;0;-31;-32;-3;24;49;66;66;47;34;10;-9;-19;0;356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;20;30;78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;SIMPLICIO   ;1;10;51;1;1;50;305.7;0.008849;309;0;8.699;8.812;126.5;126.5;251.5;251.5;251.5;251.5;140;0;251.5;0;0;0;0;11.36;0;0;0;0;-45;-29;-7;22;53;71;81;75;54;20;-10;-38;0;137.886;0.00439945;-1.73E-06;5.81E-10;-7.35E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;101.9;103;111.46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;ILHA POMBOS ;1;10;53;1;1;51;187.169;0.007763;724;168;0.467;3.667;8;8;135.6;135.6;135.6;135.6;101.76;0;135.6;0;0;0;0;4;0;0;0;0;16;20;36;37;36;31;29;26;30;21;12;10;0;98.62;0.0228705;-6.10E-05;9.00E-08;-4.98E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27.408;106;33.34;1;1;27.303;105;33.34;1;1;32.015;124;33.34;1;1;49.048;190;33.34;1;1;51.395;199;33.34;1
52;P. PASSOS   ;1;10;-1;1;1;52;99.9;0.00835;318;0;0.16;1.98;17;17;86.5;86.5;86.5;86.5;48.5;0;86.5;0;0;0;0;1.1;0;0;0;0;-39;-29;-10;26;64;73;90;85;57;17;-16;-29;0;45.0062;0.0388887;-0.000179351;4.41E-07;-3.98E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;49.95;159;37.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;ITAOCARA    ;1;10;-1;0;1;53;150;0.008924;624;167;1.638;6.141;412.76;412.76;89.6;89.6;89.6;89.6;60.91;0;89.6;0;0;0;0;40.4;0;0;0;0;-15;0;47;75;77;58;35;-5;-6;-7;-16;-15;0;59.2205;0.00351593;-8.27E-07;9.83E-11;-4.23E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;75;312;26.9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;SALTO GRANDE;1;12;55;1;1;54;102;0.00826;132;24;1.222;3.02;78;78;356;356;356;356;255.1;0;356;0;0;0;0;5.8;0;0;0;0;-43;-10;11;28;46;65;97;87;64;39;8;-19;0;254.286;0.000736265;1.38E-05;4.95E-07;-1.49E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;27;35;93;1;2;24;31;93;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;P. ESTRELA  ;1;12;12;1;0;55;112;0.009055;248;25;0.069;1.284;56;89;246;255;246;255;204;86.35;230.804;0.271739;0;0;0;-26.9667;0.122222;0;0;0;-26;-8;14;32;63;81;104;82;60;32;3;-21;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;56;124;49.8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;CANDONGA    ;1;12;12;1;1;56;140.1;0.009074;318;37;0.39;2.284;54.44;54.44;327.5;327.5;327.5;327.5;277.08;0;284.155;2.58947;-0.0832982;0.00144607;-9.41E-06;3326.2;-43.6806;0.215034;-0.000470794;3.87E-07;-41;-15;6;23;48;67;90;81;59;37;5;-25;0;275.7;0.010298;-1.26E-05;1.34E-08;-5.48E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;46.7;106;48.6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;AIMORES     ;1;12;58;1;1;57;330;0.009123;1296;166;0.901;4.067;156.55;185.52;89;90;89;90;62.5;0;79.904;0.10317;-0.00048151;1.54E-06;-1.94E-09;-162020;7306.51;-123.601;0.929426;-0.00262028;-22;-18;24;57;84;81;64;39;19;4;-14;-12;0;58.937;0.0035098;-1.33E-06;3.14E-10;-2.83E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;110;432;27.9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;MASCARENHAS ;1;12;-1;1;1;58;198;0.008917;1216;192;5.293;6.214;21.68;21.68;60.7;60.7;60.7;60.7;39.82;0;60.7;0;0;0;0;3.9;0;0;0;0;-46;-42;-7;27;72;95;96;73;44;12;-18;-28;0;36.899;0.0028405;-1.92E-07;4.92E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;49.5;304;18.26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;GUILMAN-AMOR;1;12;60;1;1;59;140;0.008829;136;16;4.004;6.345;12;12;495;495;495;495;375.5;0;495;0;0;0;0;1;0;0;0;0;-38;-20;4;20;41;54;78;79;52;32;2;-22;0;375.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;35;34;116.8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;SA CARVALHO ;1;12;12;1;1;60;78;0.008633;83;18;11.782;1.835;1;1;369.5;369.5;369.5;369.5;255.1;0;369.5;0;0;0;0;0.46;0;0;0;0;-18;-13;10;33;61;70;76;55;39;26;10;-4;0;255.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15;16;108.6;1;1;18;19;108.6;1;1;30;32;108.6;1;0;0;0;0;0;0;0;0;0;0
61;ROSAL       ;1;12;-1;1;1;61;55;0.009035;32;3;12.966;1.377;11;11;555;555;555;555;360.4;0;555;0;0;0;0;1.28;0;0;0;0;-13;1;43;51;74;65;44;26;21;10;-5;-2;0;359;0.105833;-0.00225;1.67E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;27.5;16;186;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;SAMUEL      ;1;20;-1;1;0;62;216.75;0.009025;845;9;0.515;2.517;943.23;3493.44;80;87.4;80;87.4;57.59;0;70.9896;0.0138487;-5.62E-06;1.23E-09;-1.05E-13;-2.00E+06;97644.2;-1785.96;14.4916;-0.0439915;32;13;8;12;15;-14;0;24;10;-3;-17;39;0;51.5524;0.012994;-5.90E-06;1.84E-09;-2.95E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;43.35;169;28.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;IRAPE       ;1;14;141;1;0;63;399;0.009025;267;5;1.945;3.005;2267.94;5963.92;470.8;510;470.8;510;331.48;8.94;414.769;0.0353304;-5.88E-06;5.82E-10;-2.34E-14;4771.56;-22.2022;0.0236388;1.36E-05;-1.87E-08;-18;3;29;49;65;86;111;119;96;54;20;-8;0;328.22;0.0219721;-2.48E-05;1.39E-08;-2.92E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;133;89;166.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;STA CLARA MG;1;14;-1;1;1;64;60;0.008731;132;5;0.115;4.69;146;146;86;86;86;86;32.6;0;86;0;0;0;0;7.6;0;0;0;0;-25;-8;30;53;61;59;40;15;18;10;-8;-9;0;31.8137;0.00951352;-9.87E-06;7.39E-09;-2.07E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;20;44;52.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;CAMARGOS    ;1;11;66;1;0;65;46;0.008525;220;24;4.075;12.11;120;792;899;913;899;913;886.1;38.62;892.97;0.062089;-0.00011041;1.25E-07;-5.55E-11;13334.3;-32.8661;0.0200893;0;0;0;2;29;40;51;46;32;23;24;15;4;7;0;886.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;23;110;24.6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
