num_load_level;;;;;;;
1;;;;;;;
stage;month;year;num_subsystem;num_subsystem;num_subsystem;num_subsystem;num_subsystem
110;2;2025;1.0915;1.0096;1.0916;1.0576;1
111;3;2025;1.1228;1.0761;1.0914;1.0564;1
112;4;2025;1.1593;1.1501;1.0923;1.0609;1
113;5;2025;1.2037;1.1758;1.096;1.0817;1
114;6;2025;1.1939;1.185;1.1089;1.077;1
115;7;2025;1.1964;1.1811;1.1076;1.071;1
116;8;2025;1.1872;1.1683;1.1086;1.0634;1
117;9;2025;1.1684;1.1662;1.1038;1.0622;1
118;10;2025;1.1374;1.1255;1.0968;1.0682;1
119;11;2025;1.1281;1.0682;1.0916;1.0664;1
120;12;2025;1.0969;1.0452;1.0918;1.0677;1
end;;;;;;;
num_load_level;;;;;;;
2;;;;;;;
stage;month;year;num_subsystem;num_subsystem;num_subsystem;num_subsystem;num_subsystem
-1;-1;-1;1;2;3;4;5
1;1;2016;1.0908;1.1214;1.0557;1.0218;1
2;2;2016;1.0807;1.1074;1.0531;1.0185;1
3;3;2016;1.0825;1.1124;1.0621;1.0237;1
4;4;2016;1.0851;1.1192;1.0675;1.0257;1
5;5;2016;1.0925;1.1252;1.07;1.0344;1
6;6;2016;1.0773;1.111;1.0594;1.0241;1
7;7;2016;1.0831;1.1248;1.0644;1.0262;1
8;8;2016;1.0795;1.1144;1.0636;1.0246;1
9;9;2016;1.0856;1.1171;1.0678;1.0242;1
10;10;2016;1.0923;1.1323;1.0762;1.0244;1
11;11;2016;1.0906;1.1274;1.0603;1.0191;1
12;12;2016;1.0721;1.0992;1.0449;1.0136;1
13;1;2017;1.0864;1.1166;1.0531;1.0205;1
14;2;2017;1.0815;1.1082;1.0537;1.0186;1
15;3;2017;1.0783;1.1073;1.059;1.0223;1
16;4;2017;1.0947;1.1316;1.0744;1.0287;1
17;5;2017;1.0873;1.1189;1.0666;1.0325;1
18;6;2017;1.0823;1.1174;1.0628;1.0258;1
19;7;2017;1.0831;1.1248;1.0644;1.0262;1
20;8;2017;1.0795;1.1144;1.0636;1.0246;1
21;9;2017;1.0856;1.1171;1.0678;1.0242;1
22;10;2017;1.0923;1.1323;1.0762;1.0244;1
23;11;2017;1.0906;1.1274;1.0603;1.0191;1
24;12;2017;1.0795;1.108;1.05;1.0158;1
25;1;2018;1.0864;1.1166;1.0531;1.0205;1
26;2;2018;1.0815;1.1082;1.0537;1.0186;1
27;3;2018;1.0825;1.1124;1.0621;1.0237;1
28;4;2018;1.0899;1.1254;1.0709;1.0272;1
29;5;2018;1.0925;1.1252;1.07;1.0344;1
30;6;2018;1.0773;1.111;1.0594;1.0241;1
31;7;2018;1.0831;1.1248;1.0644;1.0262;1
32;8;2018;1.0795;1.1144;1.0636;1.0246;1
33;9;2018;1.0906;1.1234;1.0713;1.0257;1
34;10;2018;1.0877;1.1261;1.0725;1.0229;1
35;11;2018;1.0906;1.1274;1.0603;1.0191;1
36;12;2018;1.0795;1.108;1.05;1.0158;1
37;1;2019;1.0864;1.1166;1.0531;1.0205;1
38;2;2019;1.0773;1.1036;1.0507;1.0174;1
39;3;2019;1.0868;1.1175;1.0653;1.0249;1
40;4;2019;1.0851;1.1192;1.0675;1.0257;1
41;5;2019;1.0873;1.1189;1.0666;1.0325;1
42;6;2019;1.0874;1.1239;1.0663;1.0273;1
43;7;2019;1.0781;1.1182;1.061;1.0246;1
44;8;2019;1.0795;1.1144;1.0636;1.0246;1
45;9;2019;1.0906;1.1234;1.0713;1.0257;1
46;10;2019;1.0877;1.1261;1.0725;1.0229;1
47;11;2019;1.0906;1.1274;1.0603;1.0191;1
48;12;2019;1.0795;1.108;1.05;1.0158;1
49;1;2020;1.0864;1.1166;1.0531;1.0205;1
50;2;2020;1.0807;1.1074;1.0531;1.0185;1
51;3;2020;1.0825;1.1124;1.0621;1.0237;1
52;4;2020;1.0899;1.1254;1.0709;1.0272;1
53;5;2020;1.0925;1.1252;1.07;1.0344;1
54;6;2020;1.0823;1.1174;1.0628;1.0258;1
55;7;2020;1.0781;1.1182;1.061;1.0246;1
56;8;2020;1.0844;1.1207;1.0671;1.0261;1
57;9;2020;1.0856;1.1171;1.0678;1.0242;1
58;10;2020;1.0877;1.1261;1.0725;1.0229;1
59;11;2020;1.0906;1.1274;1.0603;1.0191;1
60;12;2020;1.0758;1.1035;1.0474;1.0147;1
61;1;2021;1.0864;1.1166;1.0531;1.0205;1
62;2;2021;1.0807;1.1074;1.0531;1.0185;1
63;3;2021;1.0825;1.1124;1.0621;1.0237;1
